seed,fold,protocol,accuracy,precision,recall,f1,auc,pr_auc,mcc
123,1,Frozen,0.8378839590443686,0.9290322580645162,0.8421052631578947,0.8834355828220859,0.9024258859556884,0.9662400156104101,0.6275312390896719
123,1,Fine-tuned,0.8967576791808873,0.9267441860465117,0.9321637426900585,0.9294460641399417,0.9596362093456565,0.9857617262151034,0.7371268220235772
123,2,Frozen,0.8155422715627668,0.9230769230769231,0.8149882903981265,0.8656716417910447,0.8857298000132978,0.95430518298359,0.5864591177020402
123,2,Fine-tuned,0.8983774551665243,0.9318448883666275,0.9285714285714286,0.9302052785923753,0.9471110158910749,0.9793912630223578,0.7434097736908031
123,3,Frozen,0.8189581554227157,0.8785377358490566,0.8723653395784543,0.8754406580493537,0.8827636137973832,0.9554798195784997,0.5442510069077843
123,3,Fine-tuned,0.8701964133219471,0.921875,0.8981264637002342,0.9098457888493475,0.9298495112995813,0.9732918935813547,0.6790158081994732
123,4,Frozen,0.8181041844577285,0.9433701657458563,0.7988304093567251,0.8651044965167828,0.8966059663927751,0.9628180862660578,0.6113415616771551
123,4,Fine-tuned,0.8804440649017934,0.942998760842627,0.8900584795321638,0.9157641395908543,0.9461618180472278,0.9809043922156052,0.7139985712518111
123,5,Frozen,0.8172502134927413,0.9313593539703903,0.8093567251461988,0.8660826032540676,0.8905507439484788,0.9576575838759831,0.5972572077413117
123,5,Fine-tuned,0.8864218616567037,0.9604591836734694,0.8807017543859649,0.9188529591214155,0.9570212450958621,0.983538297724845,0.7385045910165985
