,Mean,Std
accuracy,0.9622593895516313,0.00034158842744224
precision,0.9800317952837112,0.0015550846894761062
recall,0.968014389343121,0.0011550668940686717
f1,0.9739659683399573,0.00020523612689474073
auc,0.991498564293921,0.000593218982538894
pr_auc,0.99669857185114,0.00027157480097064686
mcc,0.9057323222088285,0.0011048198035550078
