trial_id,score_val_loss,dense_1_units,dropout_1_rate,dense_2_units,dropout_2_rate,learning_rate
09,0.09614851325750351,1024,0.4,256,0.30000000000000004,0.0005
04,0.0976293757557869,512,0.30000000000000004,256,0.2,0.0005
07,0.0987570658326149,512,0.30000000000000004,512,0.30000000000000004,0.0001
00,0.0987757071852684,256,0.2,512,0.30000000000000004,0.0005
06,0.09990229457616806,256,0.2,256,0.4,0.0005
02,0.10344734787940979,1024,0.4,128,0.2,0.0001
05,0.11013935506343842,512,0.2,128,0.4,0.0005
01,0.11344847083091736,512,0.4,256,0.30000000000000004,5e-05
08,0.11801929771900177,256,0.2,128,0.2,5e-05
03,0.118250772356987,256,0.2,256,0.30000000000000004,5e-05
