trial_id,score_val_loss,dense_1_units,dropout_1_rate,dense_2_units,dropout_2_rate,learning_rate
07,0.11973074078559875,512,0.4,512,0.4,0.0005
06,0.13626956939697266,1024,0.2,128,0.2,0.001
02,0.1372130662202835,1024,0.30000000000000004,512,0.30000000000000004,0.001
05,0.17138293385505676,1024,0.30000000000000004,512,0.4,0.001
04,0.2043091356754303,256,0.30000000000000004,512,0.2,0.0005
09,0.43151235580444336,1024,0.30000000000000004,256,0.2,0.001
01,0.5564051270484924,256,0.2,256,0.4,0.001
08,1.1049169301986694,512,0.4,128,0.2,5e-05
03,1.2881687879562378,512,0.4,512,0.4,5e-05
00,1.6606894731521606,256,0.30000000000000004,128,0.4,0.0001
