trial_id,score_val_loss,dense_1_units,dropout_1_rate,dense_2_units,dropout_2_rate,learning_rate
00,0.10691945999860764,1024,0.4,256,0.30000000000000004,0.001
02,0.11191210895776749,512,0.30000000000000004,128,0.2,0.0001
06,0.11262883245944977,512,0.4,128,0.2,0.001
09,0.112883061170578,512,0.4,256,0.2,0.001
08,0.11288423836231232,256,0.30000000000000004,256,0.30000000000000004,0.0005
04,0.11314506828784943,512,0.30000000000000004,128,0.4,0.0005
07,0.1188393384218216,256,0.4,512,0.30000000000000004,0.001
05,0.12007210403680801,1024,0.30000000000000004,128,0.4,5e-05
01,0.12041755765676498,512,0.2,256,0.4,0.001
03,0.12361859530210495,256,0.4,256,0.30000000000000004,0.0001
