,Mean,Std
accuracy,0.8883759881629326,0.0016856312658640991
precision,0.9394354760106013,0.007913366251428484
recall,0.9057634979981831,0.008190236944287919
f1,0.9220618285942943,0.0012082670711575194
auc,0.9486160517679444,0.0025882776588145927
pr_auc,0.980843222754087,0.0009212889680644145
mcc,0.7278957762455311,0.007209934052682049
