,Mean,Std
accuracy,0.9468364699035954,0.0008591723948264035
precision,0.9803957883083233,0.0008044904386859711
recall,0.9460971189357729,0.0013532157915996902
f1,0.9628918365222022,0.0006296465919915692
auc,0.988010153261199,2.2713288250932154e-05
pr_auc,0.9954074173844623,1.9803283293364943e-05
mcc,0.8712141277403074,0.0019092548585828257
