seed,fold,protocol,accuracy,precision,recall,f1,auc,pr_auc,mcc
42,1,Frozen,0.9581911262798635,0.9774881516587678,0.9649122807017544,0.9711595055915244,0.9919087940671869,0.9969087311918041,0.8954499238670165
42,1,Fine-tuned,0.9718430034129693,0.9790209790209791,0.9824561403508771,0.9807355516637478,0.9934510303097386,0.9975087989847329,0.9284578555317767
42,2,Frozen,0.9496157130657558,0.9737783075089392,0.9566744730679156,0.965150620200827,0.9861719575351473,0.994638184841188,0.8747142917073146
42,2,Fine-tuned,0.9530315969257045,0.9705535924617197,0.9648711943793911,0.9677040516735174,0.9886006841067088,0.995556419351286,0.8816858291511166
42,3,Frozen,0.9564474807856533,0.9717978848413631,0.968384074941452,0.9700879765395894,0.9896312768268087,0.996048863498045,0.8900447172858946
42,3,Fine-tuned,0.9624252775405636,0.9798578199052133,0.968384074941452,0.9740871613663133,0.9920729319808804,0.9969516958681229,0.9059805684150556
42,4,Frozen,0.9513236549957301,0.9784172661870504,0.9543859649122807,0.9662522202486679,0.9871048930342735,0.9952169588601474,0.8798857281883681
42,4,Fine-tuned,0.9530315969257045,0.9807692307692307,0.9543859649122807,0.967397747480735,0.9891701828410691,0.9960023116399521,0.8845346781659166
42,5,Frozen,0.9573014517506405,0.9843561973525873,0.9567251461988304,0.970344009489917,0.989980753571693,0.995349570908151,0.8953353398252355
42,5,Fine-tuned,0.9692570452604612,0.981198589894242,0.9766081871345029,0.9788980070339977,0.99101895032941,0.9959478887073908,0.9223297567037493
