trial_id,score_val_loss,dense_1_units,dropout_1_rate,dense_2_units,dropout_2_rate,learning_rate
00,0.5835890173912048,512,0.2,128,0.30000000000000004,0.0005
04,0.5836012959480286,512,0.2,128,0.2,0.0001
01,0.5836471915245056,1024,0.2,128,0.30000000000000004,5e-05
06,0.5836500525474548,256,0.2,512,0.4,0.0005
02,0.5836588144302368,512,0.30000000000000004,512,0.2,0.0001
07,0.5836694240570068,256,0.4,128,0.4,0.001
08,0.5837416648864746,512,0.30000000000000004,512,0.2,0.001
09,0.5837586522102356,512,0.30000000000000004,256,0.4,0.0001
05,0.5842167139053345,512,0.4,128,0.30000000000000004,0.001
03,0.5847050547599792,256,0.2,512,0.2,0.0001
