,Mean,Std
accuracy,0.6871512344689497,0.05491584440428883
precision,0.7392100330657496,0.008269922420923257
recall,0.9007015717800878,0.11406831467287755
f1,0.7816835401396144,0.08447731992219208
auc,0.5418362389928432,0.04942836811187263
pr_auc,0.7802310808180527,0.02917024291478814
mcc,0.007333272572146484,0.025920971408468774
