trial_id,score_val_loss,dense_1_units,dropout_1_rate,dense_2_units,dropout_2_rate,learning_rate
01,0.3142054080963135,512,0.30000000000000004,256,0.2,0.0005
07,0.31509891152381897,1024,0.4,256,0.30000000000000004,0.0005
09,0.3256705105304718,256,0.30000000000000004,256,0.4,0.001
04,0.33082494139671326,1024,0.4,128,0.2,0.001
02,0.342467725276947,1024,0.30000000000000004,256,0.2,0.0001
06,0.349568635225296,256,0.4,128,0.2,0.0005
08,0.35488632321357727,1024,0.4,256,0.4,0.0001
05,0.3851606249809265,1024,0.30000000000000004,256,0.2,5e-05
00,0.4048403203487396,256,0.30000000000000004,512,0.2,5e-05
03,0.40959441661834717,256,0.2,256,0.2,5e-05
