,Mean,Std
accuracy,0.6070487579531512,0.05295253536376247
precision,0.5350305399058981,0.08421129460084387
recall,0.7333333333333334,0.11547005383792519
f1,0.6186800411387353,0.09739400096551917
auc,0.6697834274417783,0.06888317959830666
pr_auc,0.8427238700628177,0.038679468576808325
mcc,0.0,0.0
