seed,fold,protocol,accuracy,precision,recall,f1,auc,pr_auc,mcc
2026,1,Frozen,0.9445392491467577,0.972488038277512,0.9508771929824561,0.9615612063867534,0.9874997694024756,0.9952810977302341,0.8627672794741084
2026,1,Fine-tuned,0.9377133105802048,0.9875311720698254,0.9263157894736842,0.955944477972239,0.9884184699393067,0.9956544949824383,0.8551377529107749
2026,2,Frozen,0.9427839453458582,0.981640146878825,0.9391100702576113,0.959904248952723,0.9863917434378209,0.9951496794282173,0.8627981703402829
2026,2,Fine-tuned,0.9444918872758327,0.9816849816849816,0.9414519906323185,0.9611476389719068,0.9878323569175305,0.9956503784372097,0.866458150890799
2026,3,Frozen,0.9453458582408198,0.9614485981308412,0.9637002341920374,0.9625730994152046,0.9843047008326007,0.9934872017528658,0.861315879779674
2026,3,Fine-tuned,0.9402220324508966,0.9734299516908212,0.9437939110070258,0.9583828775267539,0.9852614159383565,0.9938938328235516,0.8536958089489075
2026,4,Frozen,0.9624252775405636,0.98562874251497,0.9625730994152046,0.9739644970414201,0.9933007624546597,0.9974807564470425,0.9073333356481865
2026,4,Fine-tuned,0.9675491033304867,0.9845788849347569,0.9707602339181286,0.9776207302709069,0.9940225035161745,0.9977623450973646,0.9189286928054529
2026,5,Frozen,0.9393680614859095,0.9757281553398058,0.9403508771929825,0.957712924359738,0.9840439706862092,0.9938203370861671,0.8525648636340011
2026,5,Fine-tuned,0.9402220324508966,0.976913730255164,0.9403508771929825,0.9582836710369488,0.9844140943074986,0.9939626774638469,0.8549297113554613
