,Mean,Std
accuracy,0.8205247403840829,0.0027496690956217993
precision,0.9013848513100301,0.006163361471463918
recall,0.8468660722845365,0.0034140712414343598
f1,0.8731607669847284,0.0013415440458563281
auc,0.8860199129076752,0.003542614938166246
pr_auc,0.9563005433625462,0.0011497189862123458
mcc,0.5707668504269873,0.01116759834524126
